qYOLOv10n summary (fused): 129 layers, 2,265,558 parameters, 12,870 gradients, 6.5 GFLOPs
=== Full Model Scale Dump ===
Layer6.m.1: shape=[1, 64, 40, 40], scale=0.1400706022977829, zp=0
Layer6.m.1.cv1: shape=[1, 64, 40, 40], scale=0.10145936906337738, zp=65
Layer6.m.1.cv1.conv: shape=[1, 64, 40, 40], scale=0.10145936906337738, zp=65
Layer6.m.1.cv1.act: shape=[1, 64, 40, 40], scale=0.19909697771072388, zp=54
Layer6.m.1.cv2: shape=[1, 64, 40, 40], scale=0.19909697771072388, zp=54
Layer6.m.1.cv2.conv: shape=[1, 64, 40, 40], scale=0.19909697771072388, zp=54
Layer6.m.1.cv2.act: shape=[1, 128, 40, 40], scale=0.1121821328997612, zp=61
Layer6.m.1.fl_func.activation_post_process: shape=[1, 64, 40, 40], scale=0.1400706022977829, zp=0
Layer6.fl.activation_post_process: shape=[1, 256, 40, 40], scale=0.11346115171909332, zp=0
Layer7: shape=[1, 256, 20, 20], scale=0.15812936425209045, zp=64
Layer7.cv1: shape=[1, 256, 40, 40], scale=0.08612564206123352, zp=58
Layer7.cv1.conv: shape=[1, 256, 40, 40], scale=0.08612564206123352, zp=58
Layer7.cv1.act: shape=[1, 256, 40, 40], scale=0.08612564206123352, zp=58
Layer7.cv2: shape=[1, 256, 20, 20], scale=0.15812936425209045, zp=64
Layer7.cv2.conv: shape=[1, 256, 20, 20], scale=0.15812936425209045, zp=64
Layer7.cv2.act: shape=[1, 256, 20, 20], scale=0.15812936425209045, zp=64
Layer8: shape=[1, 256, 20, 20], scale=0.07514981180429459, zp=65
Layer8.cv1: shape=[1, 256, 20, 20], scale=0.0765177309513092, zp=60
Layer8.cv1.conv: shape=[1, 256, 20, 20], scale=0.0765177309513092, zp=60
Layer8.cv1.act: shape=[1, 256, 20, 20], scale=0.0765177309513092, zp=60
Layer8.cv2: shape=[1, 256, 20, 20], scale=0.07514981180429459, zp=65
Layer8.cv2.conv: shape=[1, 256, 20, 20], scale=0.07514981180429459, zp=65
Layer8.cv2.act: shape=[1, 128, 20, 20], scale=0.07468778640031815, zp=67
Layer8.m.0: shape=[1, 128, 20, 20], scale=0.05809418112039566, zp=0
Layer8.m.0.cv1: shape=[1, 128, 20, 20], scale=0.07468778640031815, zp=67
Layer8.m.0.cv1.conv: shape=[1, 128, 20, 20], scale=0.07468778640031815, zp=67
Layer8.m.0.cv1.act: shape=[1, 128, 20, 20], scale=0.09682511538267136, zp=56
Layer8.m.0.cv2: shape=[1, 128, 20, 20], scale=0.09682511538267136, zp=56
Layer8.m.0.cv2.conv: shape=[1, 128, 20, 20], scale=0.09682511538267136, zp=56
Layer8.m.0.cv2.act: shape=[1, 256, 20, 20], scale=0.07514981180429459, zp=65
Layer8.m.0.fl_func.activation_post_process: shape=[1, 128, 20, 20], scale=0.05809418112039566, zp=0
Layer8.fl.activation_post_process: shape=[1, 384, 20, 20], scale=0.052765242755413055, zp=0
Layer9: shape=[1, 256, 20, 20], scale=0.07199739664793015, zp=68
Layer9.cv1: shape=[1, 128, 20, 20], scale=0.07680291682481766, zp=49
Layer9.cv1.conv: shape=[1, 128, 20, 20], scale=0.07680291682481766, zp=49
Layer9.cv1.act: shape=[1, 128, 20, 20], scale=0.07680291682481766, zp=49
Layer9.cv2: shape=[1, 256, 20, 20], scale=0.07199739664793015, zp=68
Layer9.cv2.conv: shape=[1, 256, 20, 20], scale=0.07199739664793015, zp=68
Layer9.cv2.act: shape=[1, 256, 20, 20], scale=0.07199739664793015, zp=68
Layer9.m: shape=[1, 128, 20, 20], scale=0.07680291682481766, zp=49
Layer10: shape=[1, 256, 20, 20], scale=0.08468595147132874, zp=62
Layer10.cv1: shape=[1, 256, 20, 20], scale=0.10535099357366562, zp=65
