# rtl_cycle_trace time_ps	tag	message
98000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
98000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
98000	S3_WTB_WR	addr=3 d0=-115 d1=-115
98000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
102000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
102000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
102000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
102000	S3_WTB_WR	addr=4 d0=113 d1=113
102000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
106000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
106000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
106000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
106000	S3_WTB_WR	addr=5 d0=121 d1=121
106000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
110000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
110000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
110000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
110000	S3_WTB_WR	addr=6 d0=-18 d1=-18
110000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
114000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
114000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
114000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
114000	S3_WTB_WR	addr=7 d0=59 d1=59
114000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
118000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
118000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
118000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
118000	S3_WTB_WR	addr=8 d0=70 d1=70
118000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
122000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
122000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
122000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
122000	S3_WTB_WR	addr=9 d0=-48 d1=-48
122000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
126000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
126000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
126000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
126000	S3_WTB_WR	addr=10 d0=35 d1=35
126000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
130000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
130000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
130000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
130000	S3_WTB_WR	addr=11 d0=-79 d1=-79
130000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
134000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
134000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
134000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
134000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
138000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
138000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
138000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
138000	S3_WTB_WR	addr=0 d0=-56 d1=-56
138000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
142000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
142000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
142000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
142000	S3_WTB_WR	addr=1 d0=38 d1=38
142000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=x w200=x
146000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
146000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
146000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
146000	S3_WTB_WR	addr=2 d0=-111 d1=-111
146000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
150000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
150000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
150000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
150000	S3_WTB_WR	addr=3 d0=-120 d1=-120
150000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
154000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
154000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
154000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
154000	S3_WTB_WR	addr=4 d0=-39 d1=-39
154000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=-78 w100=-56 w200=x
158000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
158000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
158000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
158000	S3_WTB_WR	addr=5 d0=-76 d1=-76
